,,1 star (base),2 stars,3 stars
Level 1,Building 1,2000,4400,8000
,Building 2,2400,6400,12000
,Building 3,2800,8400,14000
,Building 4,3600,12000,24000
Level 2,Building 1,2200,4840,8800
,Building 2,2640,7040,13200
,Building 3,3080,9240,15400
,Building 4,3960,13200,26400
Level 3,Building 1,2500,5500,10000
,Building 2,3000,8000,15000
,Building 3,3500,10500,17500
,Building 4,4500,15000,30000
Level 4,Building 1,3240,7130,13000
,Building 2,3890,10400,19400
,Building 3,4540,13600,22700
,Building 4,5830,19400,38900
Level 5,Building 1,4060,8930,16200
,Building 2,4870,13000,24400
,Building 3,5680,17100,28400
,Building 4,7310,24400,48700
Level 6,Building 1,5140,11300,20600
,Building 2,6170,16400,30800
,Building 3,7200,21600,36000
,Building 4,9250,30800,61700
Level 7,Building 1,6500,14300,26000
,Building 2,7800,20800,39000
,Building 3,9100,27300,45500
,Building 4,11700,39000,78000
Level 8,Building 1,8220,18100,32900
,Building 2,9860,26300,49300
,Building 3,11500,34500,57500
,Building 4,14800,49300,98600
Level 9,Building 1,10400,22800,41500
,Building 2,12500,33200,62300
,Building 3,14500,43600,72700
,Building 4,18700,62300,125000
Level 10,Building 1,13100,28900,52500
,Building 2,15700,42000,78700
,Building 3,18400,55100,91800
,Building 4,23600,78700,157000
Level 11,Building 1,16600,36500,66300
,Building 2,19900,53100,99500
,Building 3,23200,69600,116000
,Building 4,29800,99500,199000
Level 12,Building 1,21000,46200,84000
,Building 2,25200,67200,126000
,Building 3,29400,88200,147000
,Building 4,37800,126000,252000
Level 13,Building 1,26400,58100,106000
,Building 2,31700,84500,158000
,Building 3,37000,111000,185000
,Building 4,47500,158000,317000
Level 14,Building 1,33400,73500,134000
,Building 2,40100,107000,200000
,Building 3,46800,140000,234000
,Building 4,60100,200000,401000
Level 15,Building 1,42200,92800,169000
,Building 2,50600,135000,253000
,Building 3,59100,177000,295000
,Building 4,76000,253000,506000
Level 16,Building 1,53400,117000,214000
,Building 2,64100,171000,320000
,Building 3,74800,224000,374000
,Building 4,96100,320000,641000
Level 17,Building 1,67600,149000,270000
,Building 2,81100,216000,406000
,Building 3,94600,284000,473000
,Building 4,122000,406000,811000
Level 18,Building 1,85400,188000,342000
,Building 2,102000,273000,512000
,Building 3,120000,359000,598000
,Building 4,154000,512000,1020000
Level 19,Building 1,108000,237000,431000
,Building 2,129000,345000,647000
,Building 3,151000,453000,755000
,Building 4,194000,647000,1290000
Level 20,Building 1,136000,300000,546000
,Building 2,164000,436000,818000
,Building 3,191000,573000,955000
,Building 4,246000,818000,1640000
Level 21,Building 1,147000,324000,589000
,Building 2,177000,471000,883000
,Building 3,206000,618000,1030000
,Building 4,265000,883000,1770000
Level 22,Building 1,161000,354000,643000
,Building 2,193000,515000,965000
,Building 3,225000,675000,1130000
,Building 4,289000,965000,1930000
Level 23,Building 1,175000,386000,702000
,Building 2,210000,561000,1050000
,Building 3,246000,737000,1230000
,Building 4,316000,1050000,2100000
Level 24,Building 1,192000,422000,766000
,Building 2,230000,613000,1150000
,Building 3,268000,805000,1340000
,Building 4,345000,1150000,2300000
Level 25,Building 1,210000,462000,840000
,Building 2,252000,672000,1260000
,Building 3,294000,882000,1470000
,Building 4,378000,1260000,2520000
Level 26,Building 1,228000,502000,912000
,Building 2,274000,730000,1370000
,Building 3,319000,958000,1600000
,Building 4,410000,1370000,2740000
Level 27,Building 1,250000,550000,1000000
,Building 2,300000,800000,1500000
,Building 3,350000,1050000,1750000
,Building 4,450000,1500000,3000000
Level 28,Building 1,272000,598000,1090000
,Building 2,326000,870000,1630000
,Building 3,381000,1140000,1900000
,Building 4,490000,1630000,3260000
Level 29,Building 1,296000,651000,1180000
,Building 2,355000,947000,1780000
